상품종류,단축코드,표준코드,한글종목명,행사가,기초자산 단축코드,기초자산 명
1,101W09,KR4101W90007,F 202509,00000.001,2001,KOSPI200
1,101W12,KR4101WC0003,F 202512,00000.002,2001,KOSPI200
2,401W0901,KR4401W9WCS4,SP 2509-2512,00000.001,2001,KOSPI200
2,401W0902,KR4401W963S4,SP 2509-2603,00000.001,2001,KOSPI200
2,401W0903,KR4401W966S7,SP 2509-2606,00000.001,2001,KOSPI200
2,401W0904,KR4401W96CS4,SP 2509-2612,00000.001,2001,KOSPI200
2,401W0905,KR4401W976S6,SP 2509-2706,00000.001,2001,KOSPI200
2,401W0906,KR4401W97CS2,SP 2509-2712,00000.001,2001,KOSPI200
1,A01603,KR4A01630008,F 202603,00000.003,2001,KOSPI200
1,A01606,KR4A01660005,F 202606,00000.004,2001,KOSPI200
1,A01612,KR4A016C0004,F 202612,00000.005,2001,KOSPI200
1,A01706,KR4A01760003,F 202706,00000.006,2001,KOSPI200
1,A01712,KR4A017C0003,F 202712,00000.007,2001,KOSPI200
